Training_1	Training_2	Training_3	Training_4	Training_5	Training_6	Training_7	Training_8	Training_9	Training_10	Training_11	Training_12	Training_13	Training_14	Training_15	Training_16	Training_17	Training_18	Training_19	Training_20	Training_21	Training_22	Training_23	Training_24	Training_25	Training_26	Training_27	Training_28	Training_29	Training_30	Training_31	Training_32	Training_33	Training_34	Training_35	Training_36	Training_37	Training_38	Training_39	Training_40	Training_41	Training_42	Training_43	Training_44	Training_45	Training_46	Training_47	Training_48	Training_49	Training_50	Training_51	Training_52	Training_53	Training_54	Training_55	Training_56	Training_57	Training_58	Training_59	Training_60	Training_61	Training_62	Training_63	Training_64	Training_65	Training_66	Training_67	Training_68	Training_69	Training_70	Training_71	Training_72	Training_73	Training_74	Training_75	Training_76	Training_77	Training_78	Training_79	Training_80
"CWF19L1"	0	0.9944628541	0.9944628541	0	0	1.3588866394	0	0	2.0573928706	0	2.3617467529	0	0	1.290371061	0	1.3473426761	1.3017710922	0	0	0	0	1.3846380319	0	1.6545552703	0	1.7316063085	1.81910155	0	0	1.3722597586	0	1.0231688332	0.979697386	2.0388018776	1.0231688332	0	0	0.9907864876	1.7803168517	0	1.3397187528	1.0510141495	0	1.0017859178	0	1.039143794	1.266761794	0.979697386	1.4198549091	1.1013912686	2.002455095	0	0	1.0231688332	1.9899358876	3.0274394977	0	1.0231688332	1.1427311527	1.3457743404	1.5966069537	1.0231688332	0.9892620949	0	0	1.5935749475	0	1.9673385021	0	1.058875744	0	0	2.9386120507	0	0.9871001579	1.0017859178	0	0	1.0017859178	1.0247436435
"CXADR"	1.4695273953	0	1.8886797207	1.5916248568	0	1.3632763774	0	0	1.7283361978	1.150356767	0	0	1.112983653	1.6944720201	0	0	1.2982130323	0	1.035801481	0.9873555721	0	1.7618863352	1.0749218528	0	0	0	1.0788284721	0	1.1392874969	0	2.368037094	1.8364539599	1.4325555107	0.9836431132	1.0198442321	1.3555356423	1.0770154221	1.4511657332	1.7848848161	2.3022178101	2.8314334127	1.0476590484	2.1004568263	2.2397576172	1.0660791791	0	1.2632249768	2.2913013241	1.4242879662	0	2.9798780154	0	0	2.3219438171	0	1.4641861477	1.031828045	1.6251743965	0	1.7037789862	1.8459898735	1.3894642165	0.9932233194	0.9992412566	1.686885606	0	0	0	0	1.7359983215	2.1672389553	1.090351947	1.2670216405	1.0476590484	0	2.2694495865	0	0.9873555721	1.0057670531	0
"CXorf38"	0	0.6926972725	0.6926972725	0	0	0	0	0	0	1.4053769706	0	0	0	0	1.7448095806	1.2721265519	1.2721265519	0	1.2885673006	0	0	0	0	0.7188931299	0	1.2967064132	1.3326844441	0	0	0	0	0	0	0.6794764253	1.2721265519	0	0	0	0	0	0	0	0	0	0	0	1.2721265519	0.6794764253	0	0	1.2721265519	0	1.4067710571	0	0	1.7164019931	0	0	1.3941779253	0	0	1.2721265519	0	0.6934221256	0	1.2844775692	0	0.6794764253	0	0	0	0	0.6794764253	1.3007559781	0	0	0	0	0	0
"CXorf56"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.061229808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.938201649	0	0	1.061229808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.938201649	0	1.0959422614	0	0	0.938201649	0	0	0	0	0	0	0
"CYB561D2"	1.0376126004	1.0410283515	1.0410283515	0	0	1.0273026988	1.0398095394	1.0478289382	0	0	0	0	0	1.312830167	0	0	1.2741150535	1.1090170564	0.9844158026	1.0307498431	0	1.0273026988	0	0	0	0	0	1.0910617439	0	0	0	1.8832657868	1.0273026988	1.0273026988	0.9670371557	1.0273026988	1.7613622074	0	1.0297357365	1.7767761365	1.0273026988	0	1.0779344524	0	1.1035924094	0	0	1.0273026988	1.0321730578	1.0524283624	1.0524283624	0	0	0	0	0.9670371557	0.9800854873	0.9670371557	0	1.3631602198	1.2537423826	0.9670371557	0	1.0417785242	0	1.6024924432	0	1.0273026988	0	0	0	0	1.0273026988	0	0	0	0	1.0307498431	1.571813075	0.968748906
"CYB5A"	2.4825990994	2.5582915393	3.1172782655	2.6685407848	2.0749516291	1.8862186471	2.6025808618	2.8041419604	1.3967579548	1.2906053192	1.3865434016	0	2.5140950314	2.3131558138	3.0164854981	3.0491018564	2.4272563668	0	2.5955373972	2.2704032928	2.1185664186	1.6211342163	2.7364097368	0	1.2358481037	2.2568441934	3.2514129535	0	0	1.9049437889	1.2208343168	1.9398187361	2.2190791144	2.8409866902	3.1262562475	2.1325546546	3.0104778809	1.9601050508	2.7744555037	3.2257860969	1.1706760042	1.190256778	1.9975785371	2.4020110152	1.6330742524	2.8287779278	3.1237822109	0.8015657081	1.6579174678	3.0244756445	1.5780777839	2.7413703398	2.0918291568	2.8539321926	2.5239934999	2.6051579247	2.7698200672	2.5209245519	1.2798427354	2.4763746711	1.9676672598	1.1628750594	0.8110644972	1.4171035374	1.8006295505	0	0	2.1276286471	2.0229900651	1.8464434818	2.2446943129	0	1.801219444	2.2878758632	2.5410202824	2.1880457285	0	2.2704032928	2.4311905541	1.1644260671
"CYB5B"	2.8376243339	3.6138716657	4.0197065637	3.2042263007	3.0102601425	2.8709849829	3.3863610321	3.4553860867	3.3579293525	3.0009046789	3.229528519	1.3515728392	3.0408404519	3.0212212477	3.1679420154	4.3366831523	2.3115278599	3.5666933496	3.6416894793	3.1353519628	3.527575607	2.6033737013	2.2644842641	2.3364721449	2.8379672397	3.2857437733	4.1482959386	3.1664773042	3.3614014646	3.7343196467	3.1201710093	2.6538905453	3.0272008176	4.0416290655	2.973157952	3.3142153977	3.6707166944	2.8176055129	2.9660427351	3.3261451495	3.3433342703	3.0224824895	3.2672632712	1.8982713957	1.7075258825	3.0690834205	2.6618673773	3.4771823106	2.5713205518	2.6348557168	3.698537357	3.2599830985	2.7646571971	3.4655106293	4.2085511009	2.4796223156	3.7600369673	4.2157726498	2.7407141907	3.2230693298	3.1031380918	3.2363779164	2.2089514152	2.5867239124	3.9096890203	2.851821683	2.2155506205	3.1780249965	3.1331836224	2.7509006227	3.4182196138	3.4224775733	2.8359617395	3.5007261958	2.5120007775	3.6293512776	3.8069304324	3.1353519628	2.8248605638	2.7637678724
"CYB5R1"	2.4038505696	2.2381399978	2.4459145204	2.6480451807	2.4084865303	0.9244028053	2.5496229961	2.9444376267	2.5629507913	0	2.9265571146	0	1.1507861865	2.4621765934	2.22050692	3.2429319729	2.7491106514	1.1851863119	2.4803160949	2.1636455796	2.2696570464	2.7901049912	2.9028445231	2.5908967675	2.610458983	2.7419369778	0	0.9975745767	1.1756219076	2.744397533	1.1184791823	2.1574627365	1.843444375	3.2704659079	2.55547484	2.2835287334	1.8069883615	2.361400844	0	2.6135227974	1.7134751898	2.1932185478	0	1.5629290751	1.784329391	2.0817545438	3.3028893147	2.3629788823	1.3998956346	2.9133183255	2.87167021	2.2967001433	0	2.5309886869	2.4083380541	2.2125859883	1.0739077925	2.9526583226	1.9617791489	0.9244028053	2.1196604009	2.1714001371	2.2387783138	1.9782189552	1.6861916795	2.3705437085	0	2.0059401453	3.1872808061	1.0963851428	2.1281766379	1.1293866589	2.6453555446	2.1713969293	2.3226276243	0	2.6505773117	2.1636455796	1.9702611485	2.7928818842
"CYB5R3"	5.3058674384	4.1642157269	4.0897981159	5.1300138598	4.032986222	4.060490263	4.494854822	4.2742811392	4.6479792616	3.9951937629	4.719852938	3.8010948861	3.9059988926	4.8374225658	4.4944051778	4.5025760093	4.0854902563	4.5723740724	4.747097791	4.0368753693	4.2266796077	4.5359139458	4.163625464	4.3576959474	4.4572330825	4.4544132425	3.6344537858	3.8842997035	4.2784754686	4.8031651976	3.8473863593	4.4556059027	3.774831697	3.9612163924	5.3506538662	4.0776843275	4.792888181	4.7821211278	4.2200575163	3.8190627985	3.7277591062	4.3084100405	3.9030778213	4.4013686604	5.0336314408	4.5088342131	4.6765970674	3.6831715788	4.384141001	4.6704452882	4.6005236084	4.2157703822	3.9129837727	4.4964686311	4.5626014096	4.2695318627	4.6324827094	4.6878762428	4.405751696	3.9883599725	3.5748471852	4.6064440906	4.3597930105	4.5221394699	4.6740305133	3.7871976617	2.7695028906	4.7727772699	4.7413977282	3.8273695161	3.7918309286	3.985114523	3.9006881356	4.7454910938	4.1949676782	4.1007235011	3.7980052625	4.0368753693	4.8514104771	3.58557532
"CYBA"	2.1915541208	2.5811594902	1.2345917376	1.2497376633	2.1061479766	2.6385725188	2.8860475536	1.2433017273	1.7278948979	2.117851324	1.7100043904	2.7117424584	2.4727471983	2.3217552868	2.9300188768	1.4784111265	2.2407456076	2.4322722554	0.8441019204	0	1.3479619015	0	1.9602221337	0	2.7921900816	1.8414254422	1.5162466138	3.2481713663	2.6844660239	1.5016423129	2.01062753	2.5688002831	1.2170125155	1.2170125155	1.9805986232	2.6258502205	0	2.7023034136	2.4435122831	0	1.2170125155	1.4574531022	1.2818592002	1.2433017273	0	2.4133671773	1.693606723	1.2170125155	2.6970805888	2.6132587552	1.1972424171	2.3246899874	2.492368368	1.631812732	1.6677178885	1.9123751395	2.6090184063	1.631812732	2.1154806199	2.343848145	1.5068222572	2.1517212056	1.7718365946	2.9129497411	2.1579446293	2.3512295165	1.9090116092	0	0.9155915745	1.8448681001	1.0282357189	2.3512174548	2.5698388134	2.2005060967	2.66427072	0	1.8298152676	0	1.2433017273	2.7034697995
"CYBB"	3.7196373331	3.1931102505	1.1669055119	2.6016240288	1.7699118793	3.796698341	4.0639292824	3.447436474	2.1496684139	3.550138058	3.569101856	3.655538792	3.7644296265	2.6362417772	4.4539512195	2.8028653899	3.5703857573	3.1771991031	3.2974819454	3.3299661533	2.7493669042	2.2916392455	3.2080491088	2.2460793624	3.5672669311	3.5719949326	0.929788202	4.1830451237	3.7198897529	2.1711111028	2.1384317975	3.3722025033	1.150539545	3.2457378047	2.6627151397	3.4938388267	2.0236010342	3.4376610226	2.2988785437	1.6453164897	2.7359629578	2.3774671567	1.2109195086	1.1750150005	3.131433114	3.1791078525	2.5318634413	3.1524939764	4.1494595173	2.501248197	2.0139702059	3.3930069293	3.6264207487	2.0941188244	3.215960681	2.7751946245	3.9198726068	2.9912818109	2.6213877479	2.5989359401	2.7355911102	3.188422424	1.1611432888	4.2948637682	3.0422485931	3.9792353209	3.8909895098	1.150539545	3.0698785012	2.9001893389	1.0887306028	4.1608251497	3.9514002494	2.8813316296	4.2641650803	2.5218710167	2.4961235159	3.3299661533	3.1245990264	3.2766180526
"CYC1"	4.5994554826	4.1417569836	3.8435974961	3.5536704967	4.1798757912	3.6018155135	4.277873971	4.4608078933	4.6176287313	4.6647145314	3.8753713608	3.2280811761	4.0572884949	3.4396931374	3.9615279618	4.045507399	4.3243615234	2.9472748141	4.2208623772	4.6596046838	4.5287155887	4.0340714428	4.2083677283	4.6398057022	3.3082659819	4.1936187061	3.362851872	3.8768138217	3.2008328952	4.5749704037	4.2399964795	4.4405022834	4.1032266663	4.4489793847	3.4170447537	4.0187181919	4.1826334485	4.4096396391	4.2115759404	4.198568468	4.7230651615	4.3086359715	4.2686989742	4.1557352192	3.2584983637	3.1517852429	4.1674090151	4.8172642387	3.6775373749	3.8507188217	5.209358482	4.1182388247	3.9288113355	4.5718668628	3.7455503789	3.7752831436	3.6801354858	4.572416467	3.7045783595	3.9324622263	3.8357726178	3.344868969	4.3345938159	3.8231600081	4.0117548745	4.5048247452	2.9536059938	3.8710435516	3.599585961	4.8786474305	3.7153220159	3.7199139167	3.3489682813	4.4170910794	3.3221010625	4.4462887104	4.1337633462	4.6596046838	3.8862780133	4.1475442432
"CYCS"	3.6891104418	4.1197517382	4.3912171255	3.441425142	3.150236521	3.3559878728	3.4220278932	3.605769256	4.156006922	4.2688584283	3.9671361436	4.1935775109	3.4130420268	3.5884738673	3.6022154264	4.1155956712	3.0314600219	3.5929588406	3.5025831426	3.8433945912	3.4425399789	3.5638345967	3.8553741107	5.2067083829	3.8886327438	4.2967577972	3.4738347418	3.1330906802	2.8042714369	3.5933947119	4.3507091232	4.0023100379	3.8093577033	4.4502047866	3.4532553292	4.0313233059	3.412763926	3.8480926275	4.1335506817	3.9457443345	3.5800075075	4.0739939878	3.3602843434	3.7767996099	3.051610295	3.8327829557	3.7467223032	3.8265111573	3.7349435886	3.7359302477	3.9055551291	3.7434809891	3.6288877702	4.5856312996	3.8143942306	3.6591337623	3.3965422624	3.6064608564	3.5871852068	3.781289745	3.5179018054	3.8290474032	3.3287320655	3.1849129303	3.455204706	3.9344401357	3.5604928629	4.0082034087	4.1460816063	3.3512359576	3.833982016	3.4317533469	3.3084847861	3.9868614818	3.8368563503	3.6079771448	4.7951649009	3.8433945912	3.9321659396	3.9118197187
"CYFIP1"	3.4253458277	3.1489367256	3.4817246955	3.3336092675	2.9973863609	3.5892202393	3.3825994695	3.5526045862	3.2082441173	3.2065834412	3.9586227512	2.6148367823	3.8825853038	3.9388033411	3.53940188	3.5322353237	3.9969711013	3.2192117228	3.4937552041	3.800414169	2.8964702117	3.416209931	3.4130752306	2.6370572895	3.0294251123	3.7817553841	3.0811174221	2.7724817213	3.3574714515	2.8722361011	3.8135461718	2.6323972553	3.0416847068	2.6764057092	3.5371782713	3.3141622175	3.229895584	3.1655741111	2.9835701797	2.661208304	3.9415704461	3.7514004775	3.4465837297	3.4043049247	3.4030691092	3.9252414077	3.7536264273	2.6838524816	3.717642128	3.4056004243	3.6217627439	2.8545741623	3.4445437905	3.2099860609	2.7052549924	3.1780880288	4.1523815238	3.4235702298	2.9969699293	3.5844867061	3.1138139945	3.7396226623	3.2410506249	3.7591300857	3.920237878	3.5028467102	2.1844779339	3.1849170269	3.4608085976	2.4640769341	2.5925448371	3.0695734475	3.3025409156	3.3326543162	3.5398770218	3.0968478268	2.6082905184	3.800414169	4.2272797484	3.3078608627
"CYFIP2"	1.7473927515	1.0525142638	1.0525142638	0	1.0726693999	0	2.317987959	1.8639617268	2.243132676	0	1.5122125785	1.9094100109	1.0452948868	2.0881203817	1.9507063648	1.7987985977	1.7685589553	1.740877772	0.9834031811	0	1.1902356267	1.0315036486	1.985319279	0	1.0302467373	1.5296249499	1.0179542898	0	1.0663025558	2.3987946411	1.0179542898	1.8970562334	0	1.0315036486	2.4526594882	1.0315036486	0	1.0472764315	1.6740707212	0	0	0.9929376551	0	1.9032838286	0	1.4767737086	2.0009626575	1.6091387889	1.6792414471	1.6516626497	1.740877772	1.0302467373	1.0762307722	0.9705562282	0	1.9439626584	2.0749365753	1.4493332553	1.0663025558	1.0315036486	1.0315036486	1.2644543258	0	1.0536654091	0	0.9802059612	1.941052458	1.0315036486	1.0514257134	0.9992469358	0	2.3209124114	1.0315036486	0	1.0420287218	1.9671888494	2.3182440387	0	0	0.9718234908
"CYGB"	1.7352521704	1.0115349356	1.7862484653	1.801018688	0	0	1.0103642057	1.4915995319	0	0	1.0038508383	0	0	0	0	0	0	0	0	1.0016619083	0	1.3548926759	1.0675280569	1.0374311876	1.089876645	0	0	0	0	0	0	0	0	1.3668451663	1.0038508383	0.9983507472	1.0813168195	1.4088592126	1.0006878065	1.0016619083	0	1.0359588096	0	1.5140551834	1.0716314136	0	1.0038508383	0.9983507472	1.0030289791	1.0943069847	1.0038508383	0	0	0	0	0	0	1.0038508383	1.1424187741	0.9983507472	0.9983507472	0	0	1.012255514	0	1.0176715301	0	1.6305781444	0	0	0	0	0.9983507472	0	1.0049629486	1.0180672389	0	1.0016619083	1.5216860718	1.0056638685
"CYP20A1"	1.0593303119	1.7901611268	1.0641220989	1.080741415	0	1.5474695403	1.0624118426	1.0736737994	2.2920403021	1.0718444305	2.2575356009	1.9423856721	1.0409276747	1.0448908291	0.963596549	2.0783245015	1.5530098535	1.0710767121	0	1.6447270635	0	2.7938925963	1.6048622925	0	1.6429757668	1.5450721231	2.0376331266	0	1.0626935092	2.0952299999	1.6335595726	1.6335595726	0	2.4644597513	0.963596549	1.5370907674	0	1.0593303119	0	1.0497147081	1.0448908291	1.9613077608	0	1.0736737994	2.0993373174	1.4898781129	1.1648950228	1.0448908291	1.0517075094	1.0285033583	1.7659543456	0	2.1924151184	2.0297581908	2.153452838	2.226601545	0	2.1506910006	1.7554816231	1.0448908291	1.0448908291	1.6335595726	1.0573440903	1.0651749982	2.2001913162	1.4324496085	1.1793578049	2.011475585	1.047278495	1.5516474416	0	0	1.4186881757	1.5614976374	1.6584106246	0	0	1.6447270635	1.0736737994	1.3652859756
"CYP27A1"	1.5841843221	1.0242585067	0	0	2.2580829623	1.8940447139	1.6212104895	1.032850168	2.786253359	0	1.8759428369	0	1.0731958448	1.006952062	0	2.3979939646	2.1655379351	0	2.5787377526	1.0112941665	2.8119026247	1.4876948206	2.4617445267	1.0583828286	1.0566228811	2.3297304805	0	2.9538686761	2.5549118335	1.2973565077	1.7045623823	1.7045623823	2.3409080567	1.9308893339	1.8219260437	1.006952062	0	1.5621514378	1.5257986526	1.0112941665	1.4339033742	1.0155789041	1.0710148439	1.032850168	0	0	0.9909901223	1.4740141557	1.9762487703	1.7461906625	1.0599824672	0	0	0.9909901223	1.0988764659	0	2.2178979268	3.7657760933	2.6011696467	3.2642280621	1.2975794505	2.032900371	0	1.025205708	1.5745733217	1.8839256129	0	1.4339284037	1.0799507877	1.0225150443	1.9919298468	0	1.8193616043	2.8339403896	1.0156259146	1.032850168	1.1963833989	1.0112941665	0	0.9923816709
"CYP2S1"	2.5135804686	0.8867856008	2.8640685101	3.1131257362	2.4991669536	1.2614479014	0.8854627604	1.8096769295	3.5355566265	1.2425190355	1.3391875371	0	1.9948476177	2.8407142289	3.1759307759	3.0388591726	2.399748126	2.504547536	2.842044816	2.5595625255	2.7131776162	2.4776054666	1.8676087226	0.9161405489	1.9118615779	2.839117843	3.0028604124	3.1206774195	1.2316919694	3.0259949655	3.2777854493	2.5130337262	2.0447187831	1.6786049071	2.9053984387	2.1775951181	3.0181306586	1.3535189583	2.7927752711	2.4983982973	2.992305649	2.2791837786	2.6367228294	2.4363552574	0	2.5043194953	1.7730530117	3.6249302991	2.4497332984	0	2.8121795071	2.7223132619	1.2438674159	3.2184801349	2.8489620037	1.9568113241	3.0092580978	2.7144686374	1.2316919694	3.9423479018	3.0370271981	3.2291417981	2.1341816528	2.2135427527	2.8398612836	3.370533971	0	1.6252230523	1.2134471097	2.592898489	1.3428486306	1.9120597851	2.850383417	2.5958239795	1.7114549035	3.0743460571	2.2129383612	2.5595625255	2.2143549281	1.5880646059
"CYP51A1"	2.1590244618	2.4448347106	3.0350506934	0	3.357133409	3.3658601607	1.0086810492	1.017572989	2.5945952411	1.9595272849	3.1889339575	2.1778048086	1.9055269483	3.0107741693	2.7446393886	2.3400509202	1.7123053948	0	1.6636845541	2.9851033787	0	2.7326756632	1.0657554852	1.039957205	1.8198850007	0	2.291509159	0	1.1286163297	1.3524644764	2.3270834491	2.9220171378	0.9948280633	3.0418940775	2.8553424497	2.4376126086	2.8406367633	1.476033155	3.5798722946	2.3522893911	2.720956966	2.5687339541	0	2.7127900176	1.8072537093	3.1886596358	2.5251117434	2.0748668296	2.6965903347	0	2.9244118874	1.8221267118	0	2.5604760205	0	2.967918852	2.6939247571	2.1897345346	1.9544289213	2.7058358436	2.9589109241	1.8086240686	2.7206555622	2.3020923324	2.1062170859	1.568237266	1.2667549885	2.0123426225	1.1104219607	3.689982906	2.131199564	1.0808272562	1.9637792156	1.7224533229	1.0024505092	2.571438948	1.2398468364	2.9851033787	2.3028611264	3.2806381446
"DAB2"	2.215732919	0.9688783072	2.0671433441	2.233220199	0	1.3110695495	1.4395050638	1.4828875344	1.3144021097	0	1.3030409706	0	0	2.2646732804	1.0573607783	2.1833558545	1.3550970977	1.1959056432	1.0744132876	2.7715791888	0	2.3737427459	1.8931402222	0.9962171399	1.1368132896	1.8147873439	1.9082883384	1.0196592992	1.1850594035	1.0573607783	1.1204063999	1.4553404067	0.9549816412	0.9549816412	2.074987981	2.2696883495	0	1.3934124645	1.70611645	1.9866936732	2.1472276949	1.0870864783	0	2.1329943131	1.0324066942	1.7424547733	1.3176561959	0.9549816412	1.7158834919	1.9819156334	2.5653251345	0	2.1063004741	2.0476409612	0	1.9938526107	2.5603181247	1.7049215109	1.1850594035	2.2307793575	2.3551363386	1.4527492842	0	1.5092693157	0	1.6672110301	0	1.2931150746	1.165131453	1.8234045791	2.2836697768	1.1327271082	1.2208693518	0	0.9619492825	1.8838995264	1.30696946	2.7715791888	2.5395271089	1.5792653608
"DAD1"	2.6282709513	2.5942671622	2.837193246	2.47511055	1.5574026774	3.2831622344	2.4147217791	2.8029069906	2.371063716	1.5603812443	2.3539785304	2.5076221173	2.7142767584	2.9753263912	2.9891858111	2.6469627249	2.8454699848	3.2704280406	2.7884667047	2.7973091657	3.0616819806	2.7337316229	3.1671728628	4.2337989425	3.6823933911	2.7915789842	3.1671728628	2.8381205016	3.0038911431	2.6641805801	1.4908232583	2.7357533224	2.4603533706	2.6719917778	2.6081699556	3.0439898321	3.4455068111	2.6151532446	3.3512728216	2.6286327805	2.6605880113	3.6464545219	3.7494126061	1.9170362788	2.2233337339	2.9999643175	2.8043109695	3.000291366	3.3217946324	3.3748789801	2.6889980418	2.9208604815	2.3259179226	3.3553798133	3.0322832012	2.5448766711	2.6850825686	2.2787768771	3.3027622474	2.8515178733	3.1455337247	2.7649254731	2.207162508	2.7011193834	2.445658538	2.944590564	3.655278775	2.4736664921	2.6682514728	3.2793494051	1.6585987062	1.5021097424	2.4664335172	3.0507090246	2.8038580906	2.9967345603	2.9417885964	2.7973091657	2.4938068366	3.4347743714
"DAG1"	1.0180162736	0	0	2.2007286208	1.0996301891	1.0041100501	0	1.0318323895	2.1270955258	1.1022436321	2.1092698616	2.4314314645	1.0705768868	0	0.9913264992	0	1.5938871586	0	2.5111779369	0	1.1435668251	1.0041100501	0	0	1.0546115311	1.9616339103	0	1.9549934517	1.0928717466	1.9086168627	1.6759888382	0.9913264992	0	0	2.3385654017	0	0	0	0	0	1.0041100501	1.0150471168	1.0727478297	1.0318323895	2.025546995	0	1.5638943995	1.0041100501	0	2.429610151	1.8108216063	1.6874928021	0	2.0790974615	0	0.9913264992	1.4662409596	1.5002766867	0	0	0	1.3034703136	0	1.0236457844	1.5516467856	1.4709015626	0	0	1.0770825692	0	0	0	0	1.6025410102	0	0	0	0	0	0.9926692968
"DAP"	0.9616435527	1.5026782289	0.9652562363	0	0	1.3243641908	0	1.8359838003	1.0534741569	0	1.2868553881	0	0	1.2567094892	1.5336960567	1.0534741569	1.0534741569	0	1.0697152452	0.954389432	2.1621400992	1.3498069025	2.3580867998	0	1.129085986	0	0	1.6763822091	0	1.841924048	1.1134843228	2.2445083669	0.95074789	1.9983783275	1.0534741569	1.3167237156	0	1.4111724647	2.0102451097	0.954389432	0	1.7913557814	0	0	0	1.0697152452	1.0534741569	0	1.3846143417	1.1329609267	1.0534741569	1.8937143985	0	1.0534741569	0	0	1.0656715745	1.6667788782	1.1749308323	1.3114121446	0.95074789	1.0534741569	0	1.5334848185	1.7290366942	1.0656715745	0	0.95074789	0	1.0897702281	1.2906783951	0	0.95074789	1.7907306686	0	1.5730579618	1.2905782025	0.954389432	0	1.0550753868
"DAP3"	2.3172229936	3.6889187581	2.3766126689	1.1150467438	2.6641003864	2.1951490752	2.6852532484	2.0644536225	3.3383792176	2.2942125282	2.608944507	1.1648936765	1.7791490029	2.7845075239	2.08939599	2.6334064866	2.8317554929	1.8378373307	2.6289588877	2.9988831807	1.2067690444	2.5040512718	2.7926554085	1.8251145532	2.7607322479	3.2579488615	2.1490339931	1.8902504958	2.2418163371	3.1495238612	3.838449894	3.2498737752	3.4799025652	3.6213047727	2.6933783039	2.9343793172	3.0254910921	2.9072592016	3.4223143186	3.4479946938	3.2253904664	2.9652087789	2.8809174661	3.5417354305	1.9484388319	2.2873021498	2.1497779373	3.3109435842	2.5004966573	2.1957184443	4.0086244468	2.5074788795	2.6796914193	3.1821023743	2.6359878777	2.9868429748	1.8743523564	3.9158480908	2.6532512694	2.4116906274	2.7046513874	3.2029807592	3.7804888429	2.4665077763	3.4310814048	1.8789739497	3.0401655288	3.5071910613	1.7702729975	3.6812865438	2.8706615288	2.1912416511	2.7763457759	2.9054664453	1.9653742082	3.4585388967	1.9954128121	2.9988831807	2.4673089856	3.438853695
"DAPK3"	1.4410079669	0	1.02400417	1.5475230983	1.1330475284	0	1.0228216983	1.0306018657	0	0	1.2515459938	0	0	2.0775853261	0	0	1.8277417916	0	1.005300709	1.4114132212	0	1.6954139999	0	0	0	1.0143185197	0	1.0725403082	0	0	0	0	1.4086608092	1.0106873652	0.9871480666	0	1.0944739685	0	0	1.0140319124	1.3310572814	1.0188128962	1.0598068253	1.0306018657	1.7048236811	0	0.9871480666	1.6732861092	0	0	1.0763721755	0	0	1.5214318478	0	0.9871480666	1.6453127689	1.1785630528	0	1.0106873652	1.0106873652	0.9871480666	1.4318591439	1.5328984284	1.0143185197	1.0007772182	1.2879467769	1.0106873652	1.1024054105	0	0	0	0	0	1.4203189853	1.0306018657	0	1.4114132212	1.0306018657	1.5545533407
"DARS"	4.621599866	4.9251183869	5.1241407475	4.4741341981	4.6195873444	4.540274891	3.9010532601	3.7866273505	4.461195898	4.1683887829	4.4866737599	3.6330357909	4.2274732305	4.4906816431	4.8109825553	4.2865161244	4.5633970787	4.5477404444	4.8060555171	4.6969360195	3.6012178407	4.8880220067	4.8284407597	3.5553118078	4.6601641586	4.3070691935	4.3106849236	3.7676456386	4.5386457515	4.8637269631	4.3634894977	4.263122959	5.0136313526	5.0233082329	4.1583478662	4.4099073753	4.0514940106	4.5509959715	4.5149829604	4.6099009311	5.3075106956	5.054530744	3.9483550456	4.7154376861	4.3733557873	4.0482239021	3.9540973188	4.6549173254	4.427252132	4.3820653827	4.5425099935	3.8763763831	4.3166677214	4.4209422554	4.2438314808	4.4782492429	4.8509011291	4.6971219184	4.4549194808	4.3277850681	4.8758200292	4.9970425691	4.9124888525	4.778252621	4.3122152923	5.3451605695	4.4861655197	5.1509659459	3.2505980453	4.7289770212	3.8233353274	4.7966049482	4.843817819	4.6302540578	4.2015338181	4.7289910233	4.0222752607	4.6969360195	4.4308244999	5.1056746574
"DARS2"	3.0617986912	4.1285906106	3.4366668913	2.3506031462	2.9817526053	1.8864319607	2.4839742936	2.328443889	3.502621692	1.8454391335	2.4241698041	2.0574542606	2.2926224818	3.8331743147	2.9997694022	4.1424209194	4.3237742753	2.3086368995	3.972927172	3.7132103326	2.6941066386	3.8278957319	3.046755327	3.4590428045	2.5140285927	3.6122428791	2.5255049561	3.1690168165	2.2622860362	4.9559682623	3.8798329016	3.8583720774	3.683353321	5.3477990367	2.9400479106	3.1689396627	2.7412895401	3.3974172868	3.2735970923	3.6773050359	3.5439804319	2.7379708362	3.0701707829	3.0577965193	1.1734596856	1.9641430577	4.3099604739	4.7261889606	3.1439030714	2.8316591704	4.7521583821	3.0560952682	1.8545999379	2.8522709209	2.3029904623	3.6588462527	3.0454018695	3.8053816546	2.9812957754	2.1405827519	3.3397141171	3.401098066	4.7485177459	2.6869124345	2.6525013977	3.3845358733	2.650189516	3.7702012308	1.7841189254	2.9534882169	3.4415854179	3.0609731087	4.2704528263	4.575230138	2.7892458423	3.2711336452	2.0124325323	3.7132103326	3.2295422931	3.7649451502
